id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
a536dfca-7226-4795-b1b1-3198fe2cc088,law.loan,premium,650,84.5,82,48,3,namecheap,,
fe92d01e-abf0-4c77-87c4-3fbe930981c0,law.store,premium,1562.5,6250,82,47,3,name.com,,
e9e21f6a-e142-4412-a3f6-5e1fbdef7a76,law.accountants,premium,128.7,128.7,82,45,3,namecheap,,
cc6ee97d-3845-4a23-b423-eabfa0afab84,law.actor,premium,128.7,128.7,82,45,3,namecheap,,
3a0581d7-c595-4ce6-ab2e-715945887673,law.agency,resell,,,82,45,3,"eNom, LLC",28/04/2014 02:56,28/04/2027 02:56
23f1c8a4-2d40-463b-8902-e708443c77ba,law.airforce,available,134.98,,82,45,3,namecheap,,
5519dabd-e155-4561-85cc-5b56d97440e0,law.apartments,available,72.98,,82,45,3,namecheap,,
21396fcd-47e2-41b7-94ec-1724a55b4660,law.app,resell,,,82,45,3,"Global Domains International, Inc. DBA DomainCostClub.com",09/12/2024 21:07,09/12/2026 21:07
c40f777b-1803-49ec-bc7e-eabdf7a5636d,law.archi,available,132.98,,82,45,3,namecheap,,
52769303-42af-4029-981b-0bdb6ec6093a,law.auction,premium,1300,1300,82,45,3,namecheap,,
a2149314-f3e0-4005-b55b-fc3a6bb0fc93,law.audio,available,159.98,,82,45,3,namecheap,,
a9eb2064-3950-41bd-af6d-df15dd205e02,law.auto,available,2950,,82,45,3,namecheap,,
1da82b63-7344-4b7d-877b-01a8b0ff6ce6,law.autos,premium,845,15.73,82,45,3,namecheap,,
cd95ad43-28b4-4049-885b-05aa51bfbef5,law.bargains,premium,260,260,82,45,3,namecheap,,
de933646-3cf0-488a-9dee-5e88118afbdf,law.bayern,premium,,,82,45,3,,,
ee37b2b2-85e4-4dee-80ab-19ab7fd2efa4,law.beauty,premium,2600,15.73,82,45,3,namecheap,,
77af5bd9-f353-405c-8f1b-cd559f94214c,law.berlin,resell,3643.9,3643.9,82,45,3,namecheap,31/03/2026 08:11,31/03/2027 08:11
f51658d5-3eac-4fcb-8f24-70fa750625ab,law.bingo,available,68.98,,82,45,3,namecheap,,
75cadf0b-9b75-4f64-9960-1cfb3cb4411f,law.blackfriday,premium,390,390,82,45,3,namecheap,,
f0b1d45d-af03-4116-9b7a-2cb88586e09f,law.blue,premium,1300,1300,82,45,3,namecheap,,
a0f2d3ab-fb4e-45e1-9e83-6b7cc65e772c,law.boats,premium,845,15.73,82,45,3,namecheap,,
525be25e-8ed0-450c-850e-1cbba0b980cb,law.boo,premium,1298.7,1298.7,82,45,3,namecheap,,
